"구분(1)",구분(2),구분(3),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"4. 농업",C. 벼재배,소계,10.533,10.371,10.079,9.785,9.495,9.229,8.998,8.869,8.886,8.921,8.946,8.963,8.925,8.789,8.590,8.395,8.249,8.144,8.047,7.982,7.836,7.562,7.276,7.015,6.893,6.793,6.727,6.550,6.251,5.913,5.698
"4. 농업",D. 농경지토양,소계,4.606,4.659,4.853,4.928,5.221,5.402,5.575,5.602,5.536,5.279,5.153,4.968,4.870,4.765,4.869,4.988,4.934,4.959,4.903,5.105,5.151,4.798,5.113,5.214,5.266,5.244,5.246,5.331,5.462,5.549,5.603
"4. 농업",F. 작물잔사소각,소계,0.027,0.024,0.022,0.020,0.019,0.020,0.022,0.023,0.022,0.022,0.022,0.024,0.023,0.021,0.020,0.021,0.021,0.021,0.020,0.020,0.019,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.016,0.015
"5. 토지이용, 토지이용변화 및 임업",소계,소계,-37.935,-33.955,-33.126,-31.540,-33.921,-32.149,-35.836,-40.603,-48.918,-57.068,-60.084,-59.528,-57.345,-56.859,-58.266,-56.309,-57.436,-58.114,-59.034,-58.838,-56.078,-55.231,-49.253,-45.016,-45.866,-46.561,-46.934,-41.689,-40.334,-37.710,-37.876
"5. 토지이용, 토지이용변화 및 임업",A. 산림지로 유지된 산림지,소계,-38.227,-34.164,-33.542,-31.971,-34.378,-33.104,-37.034,-41.948,-50.616,-58.351,-61.380,-60.938,-58.844,-58.360,-59.625,-57.678,-59.192,-60.261,-61.488,-61.295,-58.843,-57.763,-51.555,-47.053,-47.861,-48.505,-48.732,-43.831,-42.691,-40.262,-40.522
"5. 토지이용, 토지이용변화 및 임업",B. 농경지로 유지된 농경지,소계,0.444,0.590,0.771,0.936,1.155,1.642,2.001,2.155,2.226,2.212,2.201,2.264,2.348,2.408,2.427,2.510,2.702,2.904,3.082,3.237,3.286,3.377,2.995,2.961,2.993,2.652,2.576,2.650,2.749,2.772,2.834
"5. 토지이용, 토지이용변화 및 임업",C. 초지로 유지된 초지,소계,-0.649,-0.689,-0.664,-0.657,-0.656,-0.671,-0.688,-0.705,-0.710,-0.711,-0.718,-0.699,-0.666,-0.649,-0.602,-0.514,-0.365,-0.289,-0.244,-0.224,-0.205,-0.156,-0.169,-0.162,-0.146,-0.117,-0.086,-0.054,-0.035,-0.023,-0.016
"5. 토지이용, 토지이용변화 및 임업",D. 습지로 유지된 습지,소계,0.291,0.265,0.275,0.267,0.271,0.293,0.289,0.310,0.322,0.315,0.328,0.336,0.346,0.339,0.323,0.290,0.299,0.307,0.329,0.321,0.309,0.326,0.304,0.311,0.324,0.365,0.352,0.324,0.309,0.311,0.318
"5. 토지이용, 토지이용변화 및 임업",G. 기타,소계,0.206,0.043,0.034,-0.114,-0.313,-0.309,-0.404,-0.414,-0.140,-0.533,-0.515,-0.491,-0.529,-0.597,-0.788,-0.917,-0.880,-0.775,-0.713,-0.878,-0.625,-1.016,-0.827,-1.073,-1.177,-0.956,-1.044,-0.777,-0.667,-0.509,-0.490
"6. 폐기물",소계,소계,10.394,11.650,12.762,13.515,14.472,15.819,16.593,17.309,16.109,16.936,18.907,19.823,18.789,18.883,17.756,16.849,17.104,15.848,15.612,15.557,15.352,16.026,16.135,16.359,15.849,16.883,17.183,17.589,17.416,16.513,16.728
"6. 폐기물",A. 폐기물매립,소계,7.492,8.203,8.745,9.160,9.552,9.796,10.099,10.436,9.548,9.520,9.543,9.985,9.982,10.071,9.013,8.876,8.614,7.972,7.857,7.934,7.755,7.610,7.250,7.184,7.335,7.727,7.598,7.875,7.834,7.728,7.732
"6. 폐기물",B. 하폐수처리,소계,1.473,1.527,1.636,1.454,1.840,1.849,1.760,1.617,1.643,1.637,1.623,1.664,1.726,1.667,1.604,1.745,1.576,1.643,1.575,1.590,1.697,1.902,1.716,1.792,1.720,1.696,1.775,1.866,1.725,1.541,1.614
"6. 폐기물",C. 폐기물 소각,소계,1.429,1.920,2.381,2.901,3.066,4.173,4.729,5.241,4.903,5.725,7.635,8.069,6.924,6.986,6.974,5.990,6.626,5.928,5.865,5.697,5.614,6.175,6.811,6.952,6.303,6.837,7.117,7.148,7.067,6.407,6.593
"6. 폐기물",D. 기타,소계,-,-,-,-,0.014,0.002,0.005,0.016,0.015,0.054,0.106,0.105,0.157,0.158,0.164,0.238,0.287,0.305,0.315,0.336,0.286,0.339,0.357,0.430,0.491,0.623,0.693,0.699,0.790,0.837,0.788
