"구분(1)","항목",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"총계","1인당 배출량 (t CO₂eq./명)",6.8,7.3,7.8,8.6,9.0,9.6,10.3,10.9,9.3,10.1,10.7,10.9,11.3,11.5,11.6,11.7,11.7,11.9,12.1,12.1,13.2,13.7,13.7,13.8,13.6,13.6,13.5,13.8,14.1,13.5,12.7
"총계","1인당 배출량 증감률 (％)",-,6.9,7.8,9.1,5.5,6.4,7.4,5.7,-14.7,8.0,6.2,1.9,3.7,1.4,1.1,0.6,0.5,1.8,1.6,0.2,9.2,3.6,-0.0,0.9,-1.4,-0.4,-0.2,2.2,1.9,-3.9,-6.5
"총계","GDP당 배출량 (t CO₂eq./10억원)",643,627,643,663,647,634,637,641,580,567,556,545,528,521,503,486,466,451,448,448,460,463,454,446,429,418,406,404,401,378,357
"총계","GDP당 국가 배출량 증감률 (％)",-,-2.5,2.5,3.2,-2.4,-1.9,0.5,0.5,-9.4,-2.4,-1.8,-2.1,-3.1,-1.2,-3.5,-3.4,-4.1,-3.2,-0.7,-0.1,2.7,0.7,-1.9,-1.8,-3.8,-2.7,-2.7,-0.7,-0.6,-5.7,-5.7
