"구분(1)",구분(2),구분(3),구분(4),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"CH₄",3. 농업,A. 장내발효,소계,2.960,3.125,3.362,3.738,3.968,4.116,4.426,4.460,4.292,3.714,3.377,3.138,3.102,3.090,3.210,3.305,3.465,3.631,3.818,3.995,4.262,4.222,4.390,4.363,4.493,4.339,4.318,4.400,4.471,4.589,4.743
"CH₄",3. 농업,B. 가축 분뇨처리,소계,0.804,0.845,0.887,0.939,0.973,1.009,1.041,1.059,1.101,1.096,1.139,1.168,1.197,1.197,1.171,1.185,1.200,1.220,1.192,1.233,1.278,1.116,1.244,1.282,1.292,1.323,1.329,1.360,1.392,1.403,1.399
"CH₄",3. 농업,C. 벼재배,소계,10.533,10.371,10.079,9.785,9.495,9.229,8.998,8.869,8.886,8.921,8.946,8.963,8.925,8.789,8.590,8.395,8.249,8.144,8.047,7.982,7.836,7.562,7.276,7.015,6.893,6.793,6.727,6.550,6.251,5.913,5.698
"CH₄",3. 농업,F. 작물잔사소각,소계,0.020,0.017,0.016,0.014,0.014,0.015,0.016,0.017,0.016,0.016,0.016,0.017,0.017,0.015,0.015,0.015,0.016,0.015,0.015,0.015,0.014,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.012,0.011
"CH₄",6. 폐기물,소계,소계,8.002,8.831,9.458,9.701,10.487,10.705,10.915,11.107,10.240,10.232,10.273,10.760,10.851,10.886,9.775,9.719,9.425,8.864,8.668,8.755,8.563,8.655,8.130,8.192,8.294,8.745,8.746,9.130,8.995,8.727,8.801
"CH₄",6. 폐기물,A. 폐기물매립,소계,7.492,8.203,8.745,9.160,9.552,9.796,10.099,10.436,9.548,9.520,9.543,9.985,9.982,10.071,9.013,8.876,8.614,7.972,7.857,7.934,7.755,7.610,7.250,7.184,7.335,7.727,7.598,7.875,7.834,7.728,7.732
"CH₄",6. 폐기물,B. 하폐수처리,소계,0.510,0.627,0.712,0.541,0.927,0.909,0.813,0.663,0.684,0.683,0.673,0.719,0.785,0.731,0.674,0.717,0.659,0.730,0.645,0.644,0.650,0.858,0.682,0.772,0.686,0.634,0.715,0.820,0.682,0.494,0.579
"CH₄",6. 폐기물,D. 기타,소계,-,-,-,-,0.008,0.001,0.003,0.008,0.008,0.029,0.056,0.056,0.084,0.084,0.087,0.126,0.152,0.162,0.167,0.178,0.158,0.187,0.198,0.236,0.273,0.384,0.433,0.435,0.480,0.504,0.489
"N₂O",총배출량,소계,소계,8.717,9.175,11.745,12.229,13.026,14.020,15.012,15.973,16.340,16.869,17.638,17.801,17.603,20.999,23.488,22.043,21.304,12.155,11.613,11.985,12.519,12.313,12.832,12.999,13.096,13.024,12.993,13.833,14.330,14.244,14.097
"N₂O",1. 에너지,소계,소계,0.807,0.846,0.922,1.021,1.089,1.159,1.277,1.378,1.262,1.357,1.484,1.553,1.645,1.692,1.748,1.779,1.816,1.900,1.987,2.045,2.235,2.372,2.397,2.445,2.568,2.673,2.661,3.263,3.351,3.213,2.942
"N₂O",2. 산업공정,소계,소계,0.257,0.501,2.543,2.591,2.838,3.367,3.818,4.570,5.219,6.191,7.074,7.470,7.256,10.706,12.944,11.109,10.349,0.948,0.281,0.224,0.209,0.314,0.434,0.396,0.332,0.260,0.331,0.364,0.356,0.368,0.357
"N₂O",3. 농업,소계,소계,6.655,6.881,7.297,7.632,8.104,8.452,8.853,8.937,8.772,8.196,7.891,7.582,7.491,7.383,7.581,7.838,7.914,8.060,8.074,8.430,8.680,8.209,8.548,8.675,8.685,8.516,8.424,8.638,9.010,9.048,9.199
"N₂O",3. 농업,B. 가축 분뇨처리,소계,2.042,2.216,2.438,2.699,2.878,3.045,3.272,3.328,3.231,2.911,2.733,2.608,2.614,2.612,2.707,2.844,2.974,3.095,3.166,3.320,3.525,3.406,3.432,3.457,3.415,3.269,3.174,3.303,3.544,3.494,3.592
"N₂O",3. 농업,D. 농경지토양,소계,4.606,4.659,4.853,4.928,5.221,5.402,5.575,5.602,5.536,5.279,5.153,4.968,4.870,4.765,4.869,4.988,4.934,4.959,4.903,5.105,5.151,4.798,5.113,5.214,5.266,5.244,5.246,5.331,5.462,5.549,5.603
"N₂O",3. 농업,F. 작물잔사소각,소계,0.007,0.006,0.006,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"N₂O",6. 폐기물,소계,소계,0.998,0.947,0.982,0.984,0.994,1.042,1.064,1.088,1.086,1.125,1.189,1.196,1.211,1.218,1.215,1.318,1.226,1.248,1.271,1.287,1.394,1.418,1.453,1.482,1.512,1.575,1.577,1.568,1.613,1.615,1.598
"N₂O",6. 폐기물,B. 하폐수처리,소계,0.962,0.899,0.923,0.913,0.913,0.940,0.947,0.954,0.959,0.954,0.950,0.945,0.941,0.936,0.930,1.028,0.918,0.913,0.931,0.947,1.047,1.044,1.034,1.020,1.034,1.062,1.061,1.046,1.043,1.047,1.035
"N₂O",6. 폐기물,C. 폐기물 소각,소계,0.036,0.048,0.059,0.072,0.075,0.101,0.114,0.127,0.121,0.146,0.189,0.202,0.197,0.208,0.208,0.178,0.173,0.191,0.192,0.182,0.220,0.222,0.260,0.268,0.260,0.273,0.257,0.257,0.259,0.235,0.264
"N₂O",6. 폐기물,D. 기타,소계,-,-,-,-,0.007,0.001,0.002,0.007,0.007,0.026,0.050,0.049,0.074,0.074,0.077,0.112,0.135,0.143,0.148,0.158,0.127,0.151,0.159,0.194,0.218,0.239,0.259,0.264,0.311,0.333,0.298
"HFCs",총배출량,소계,소계,0.983,0.799,1.877,2.117,3.838,5.085,5.779,7.160,4.911,8.061,8.443,5.852,8.653,6.443,6.591,6.651,6.098,7.363,6.881,5.846,8.088,7.907,8.694,8.095,8.538,7.931,7.366,9.649,9.305,6.855,6.662
"HFCs",2. 산업공정,소계,소계,0.983,0.799,1.877,2.117,3.838,5.085,5.779,7.160,4.911,8.061,8.443,5.852,8.653,6.443,6.591,6.651,6.098,7.363,6.881,5.846,8.088,7.907,8.694,8.095,8.538,7.931,7.366,9.649,9.305,6.855,6.662
"HFCs",2. 산업공정,E. 할로카본 및 육불화황 생산,소계,0.983,0.799,1.871,2.106,2.267,2.610,2.859,3.255,1.943,3.642,3.236,0.557,1.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,-,-,-,-,-
"HFCs",2. 산업공정,F. 할로카본 및 육불화황 소비,소계,-,-,0.006,0.011,1.571,2.475,2.920,3.905,2.968,4.420,5.207,5.295,6.659,6.443,6.591,6.651,6.098,7.363,6.881,5.846,8.087,7.907,8.694,8.095,8.538,7.931,7.366,9.649,9.305,6.855,6.662
"PFCs",총배출량,소계,소계,-,-,0.000,0.002,-,0.063,0.587,1.683,1.649,1.890,2.250,1.989,1.973,2.267,2.774,2.797,2.925,2.978,2.793,2.047,2.265,2.072,2.268,2.321,2.427,1.521,1.489,2.123,3.180,3.003,3.401
"PFCs",2. 산업공정,소계,소계,-,-,0.000,0.002,-,0.063,0.587,1.683,1.649,1.890,2.250,1.989,1.973,2.267,2.774,2.797,2.925,2.978,2.793,2.047,2.265,2.072,2.268,2.321,2.427,1.521,1.489,2.123,3.180,3.003,3.401
"PFCs",2. 산업공정,F. 할로카본 및 육불화황 소비,소계,-,-,0.000,0.002,-,0.063,0.587,1.683,1.649,1.890,2.250,1.989,1.973,2.267,2.774,2.797,2.925,2.978,2.793,2.047,2.265,2.072,2.268,2.321,2.427,1.521,1.489,2.123,3.180,3.003,3.401
"SF6",총배출량,소계,소계,0.173,0.333,0.345,0.387,0.544,1.506,1.152,1.527,0.999,3.232,2.823,2.727,2.919,3.314,3.930,4.272,5.314,6.420,7.450,8.453,10.090,8.624,8.724,9.708,10.798,8.506,7.022,6.981,7.178,6.096,5.106
"SF6",2. 산업공정,소계,소계,0.173,0.333,0.345,0.387,0.544,1.506,1.152,1.527,0.999,3.232,2.823,2.727,2.919,3.314,3.930,4.272,5.314,6.420,7.450,8.453,10.090,8.624,8.724,9.708,10.798,8.506,7.022,6.981,7.178,6.096,5.106
"SF6",2. 산업공정,C. 금속 산업,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.081,0.090,0.146,0.209,0.264,0.086,0.119,0.111,0.090,0.024,0.025
"SF6",2. 산업공정,F. 할로카본 및 육불화황 소비,소계,0.173,0.333,0.345,0.387,0.544,1.506,1.152,1.527,0.999,3.232,2.823,2.727,2.919,3.314,3.930,4.272,5.314,6.420,7.450,8.453,10.009,8.534,8.578,9.499,10.534,8.420,6.902,6.871,7.088,6.072,5.080
